名称,销量,参数链接,评分链接
海鸥,"28,797",https://www.dongchedi.com/auto/params-carIds-x-5952,https://www.dongchedi.com/auto/series/score/5952
秦PLUS DM-i,"27,814",https://www.dongchedi.com/auto/params-carIds-x-4802,https://www.dongchedi.com/auto/series/score/4802
Model Y,"26,356",https://www.dongchedi.com/auto/params-carIds-x-4363,https://www.dongchedi.com/auto/series/score/4363
轩逸,"24,270",https://www.dongchedi.com/auto/params-carIds-x-1145,https://www.dongchedi.com/auto/series/score/1145
元PLUS,"23,327",https://www.dongchedi.com/auto/params-carIds-x-5248,https://www.dongchedi.com/auto/series/score/5248
宋Pro DM-i,"22,491",https://www.dongchedi.com/auto/params-carIds-x-3504,https://www.dongchedi.com/auto/series/score/3504
朗逸,"21,117",https://www.dongchedi.com/auto/params-carIds-x-393,https://www.dongchedi.com/auto/series/score/393
驱逐舰05,"20,363",https://www.dongchedi.com/auto/params-carIds-x-5290,https://www.dongchedi.com/auto/series/score/5290
宋PLUS DM-i,"20,209",https://www.dongchedi.com/auto/params-carIds-x-4865,https://www.dongchedi.com/auto/series/score/4865
秦PLUS EV,"18,500",https://www.dongchedi.com/auto/params-carIds-x-4899,https://www.dongchedi.com/auto/series/score/4899
帕萨特,"16,033",https://www.dongchedi.com/auto/params-carIds-x-398,https://www.dongchedi.com/auto/series/score/398
本田CR-V,"15,385",https://www.dongchedi.com/auto/params-carIds-x-280,https://www.dongchedi.com/auto/series/score/280
问界M9,"15,139",https://www.dongchedi.com/auto/params-carIds-x-6325,https://www.dongchedi.com/auto/series/score/6325
奥迪A6L,"14,750",https://www.dongchedi.com/auto/params-carIds-x-99,https://www.dongchedi.com/auto/series/score/99
速腾,"14,572",https://www.dongchedi.com/auto/params-carIds-x-414,https://www.dongchedi.com/auto/series/score/414
锋兰达,"14,243",https://www.dongchedi.com/auto/params-carIds-x-5369,https://www.dongchedi.com/auto/series/score/5369
星瑞,"13,596",https://www.dongchedi.com/auto/params-carIds-x-3476,https://www.dongchedi.com/auto/series/score/3476
星越L,"13,379",https://www.dongchedi.com/auto/params-carIds-x-4857,https://www.dongchedi.com/auto/series/score/4857
RAV4荣放,"12,664",https://www.dongchedi.com/auto/params-carIds-x-546,https://www.dongchedi.com/auto/series/score/546
五菱宏光MINIEV,"12,445",https://www.dongchedi.com/auto/params-carIds-x-4499,https://www.dongchedi.com/auto/series/score/4499
宝马3系,"12,205",https://www.dongchedi.com/auto/params-carIds-x-145,https://www.dongchedi.com/auto/series/score/145
卡罗拉锐放,"12,063",https://www.dongchedi.com/auto/params-carIds-x-5382,https://www.dongchedi.com/auto/series/score/5382
汉DM-i,"11,905",https://www.dongchedi.com/auto/params-carIds-x-4228,https://www.dongchedi.com/auto/series/score/4228
迈腾,"11,892",https://www.dongchedi.com/auto/params-carIds-x-415,https://www.dongchedi.com/auto/series/score/415
AION S,"11,889",https://www.dongchedi.com/auto/params-carIds-x-3101,https://www.dongchedi.com/auto/series/score/3101
