参数名称,元PLUS 2024款 荣耀版 430KM 领先型,元PLUS 2024款 荣耀版 430KM 超越型,元PLUS 2024款 荣耀版 510KM 领先型,元PLUS 2024款 荣耀版 510KM 超越型,元PLUS 2024款 荣耀版 510KM 卓越型,元PLUS 2023款 冠军版 430KM 领先型,元PLUS 2023款 冠军版 430KM 超越型,元PLUS 2023款 冠军版 510KM 领先型,元PLUS 2023款 冠军版 510KM 超越型,元PLUS 2023款 冠军版 510KM 卓越型
官方指导价,11.98万,12.68万,12.98万,13.98万,14.78万,13.58万,14.28万,14.58万,15.58万,16.38万
厂商,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
上市时间,2024.03,2024.03,2024.03,2024.03,2024.03,2023.09,2023.09,2023.09,2023.09,2023.09
电动机,纯电动 204马力,纯电动 204马力,纯电动 204马力,纯电动 204马力,纯电动 204马力,纯电动 204马力,纯电动 204马力,纯电动 204马力,纯电动 204马力,纯电动 204马力
纯电续航里程(km)工信部,430,430,510,510,510,430,430,510,510,510
充电时间(小时),"快充0.5小时
慢充7.13小时","快充0.5小时
慢充7.13小时","快充0.5小时
慢充8.64小时","快充0.5小时
慢充8.64小时","快充0.5小时
慢充8.64小时","快充0.5小时
慢充7.13小时","快充0.5小时
慢充7.13小时","快充0.5小时
慢充8.64小时","快充0.5小时
慢充8.64小时","快充0.5小时
慢充8.64小时"
快充电量(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
最大功率(kW),150(204Ps),150(204Ps),150(204Ps),150(204Ps),150(204Ps),150(204Ps),150(204Ps),150(204Ps),150(204Ps),150(204Ps)
最大扭矩(N·m),310,310,310,310,310,310,310,310,310,310
变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
长x宽x高(mm),4455x1875x1615,4455x1875x1615,4455x1875x1615,4455x1875x1615,4455x1875x1615,4455x1875x1615,4455x1875x1615,4455x1875x1615,4455x1875x1615,4455x1875x1615
车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
最高车速(km/h),160,160,160,160,160,160,160,160,160,160
官方百公里加速时间(s),7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3
