参数名称,宋Pro DM-i 2024款 DM-i 荣耀版 71km 领航型,宋Pro DM-i 2024款 DM-i 荣耀版 71km 领先型,宋Pro DM-i 2024款 DM-i 荣耀版 71km 超越型,宋Pro DM-i 2024款 DM-i 荣耀版 110km 超越型,宋Pro DM-i 2024款 DM-i 荣耀版 110km 卓越型,宋Pro DM-i 2023款 DM-i 冠军版 71km 领航型,宋Pro DM-i 2023款 DM-i 冠军版 71km 领先型,宋Pro DM-i 2023款 DM-i 冠军版 71km 超越型,宋Pro DM-i 2023款 DM-i 冠军版 110km 超越型,宋Pro DM-i 2023款 DM-i 冠军版 110km 卓越型
官方指导价,10.98万,11.58万,12.28万,12.98万,13.98万,12.98万,13.58万,14.28万,14.98万,15.98万
厂商,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
上市时间,2024.03,2024.03,2024.03,2024.03,2024.03,2023.09,2023.05,2023.05,2023.05,2023.05
发动机,1.5L 110马力 L4 插电式混动,1.5L 110马力 L4 插电式混动,1.5L 110马力 L4 插电式混动,1.5L 110马力 L4 插电式混动,1.5L 110马力 L4 插电式混动,1.5L 110马力 L4 插电式混动,1.5L 110马力 L4 插电式混动,1.5L 110马力 L4 插电式混动,1.5L 110马力 L4 插电式混动,1.5L 110马力 L4 插电式混动
纯电续航里程(km)工信部,59,59,59,85,85,59,59,59,85,85
纯电续航里程(km)NEDC,71,71,71,110,110,71,71,71,110,110
纯电续航里程(km)WLTC,59,59,59,85,85,59,59,59,85,85
综合续航里程(km)工信部,,,,1090,1090,,,,1090,1090
综合续航里程(km)NEDC,,,,1090,1090,,,,1090,1090
充电时间(小时),"快充0.7小时
慢充3.9小时","快充0.7小时
慢充3.9小时","快充0.7小时
慢充3.9小时","快充1小时
慢充5.5小时","快充1小时
慢充5.5小时","快充0.7小时
慢充3.9小时","快充0.7小时
慢充3.9小时","快充0.7小时
慢充3.9小时","快充1小时
慢充5.5小时","快充1小时
慢充5.5小时"
快充电量(%),,,,,,,,,,
发动机最大功率(kW),81(110Ps),81(110Ps),81(110Ps),81(110Ps),81(110Ps),81(110Ps),81(110Ps),81(110Ps),81(110Ps),81(110Ps)
电动机最大功率(kW),145(197Ps),145(197Ps),145(197Ps),145(197Ps),145(197Ps),145(197Ps),145(197Ps),145(197Ps),145(197Ps),145(197Ps)
发动机最大扭矩(N·m),135,135,135,135,135,135,135,135,135,135
电动机最大扭矩(N·m),325,325,325,325,325,325,325,325,325,325
变速箱,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
长x宽x高(mm),4738x1860x1710,4738x1860x1710,4738x1860x1710,4738x1860x1710,4738x1860x1710,4738x1860x1710,4738x1860x1710,4738x1860x1710,4738x1860x1710,4738x1860x1710
