参数名称,海鸥 2024款 荣耀版 305KM 活力版,海鸥 2024款 荣耀版 305KM 自由版,海鸥 2024款 荣耀版 405KM 飞翔版
官方指导价,6.98万,7.58万,8.58万
厂商,比亚迪,比亚迪,比亚迪
级别,小型车,小型车,小型车
能源类型,纯电动,纯电动,纯电动
上市时间,2024.03,2024.03,2024.03
电动机,纯电动 75马力,纯电动 75马力,纯电动 75马力
纯电续航里程(km)工信部,305,305,405
纯电续航里程(km)CLTC,305,305,405
充电时间(小时),"快充0.5小时
慢充4.3小时","快充0.5小时
慢充4.3小时","快充0.5小时
慢充5.6小时"
快充电量(%),30-80,30-80,30-80
最大功率(kW),55(75Ps),55(75Ps),55(75Ps)
最大扭矩(N·m),135,135,135
变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
长x宽x高(mm),3780x1715x1540,3780x1715x1540,3780x1715x1540
车身结构,5门4座两厢车,5门4座两厢车,5门4座两厢车
最高车速(km/h),130,130,130
官方0—50Km/h加速时间(s),4.9,4.9,4.9
官方百公里加速时间(s),,,
百公里耗电量(kWh/100km),9.6kWh,9.6kWh,9.6kWh
电能当量燃料消耗量(L/100km),1.12,1.12,1.12
整车保修期限,6年或15万公里,6年或15万公里,6年或15万公里
长(mm),3780,3780,3780
宽(mm),1715,1715,1715
高(mm),1540,1540,1540
轴距(mm),2500,2500,2500
前轮距(mm),1500,1500,1500
后轮距(mm),1500,1500,1500
车身结构,两厢车,两厢车,两厢车
车门数(个),5,5,5
车门开启方式,平开门,平开门,平开门
座位数(个),4,4,4
整备质量(kg),1160,1160,1240
满载质量(kg),1460,1460,1540
行李舱容积(L),930,930,930
电动机描述,纯电动 75马力,纯电动 75马力,纯电动 75马力
电机类型,永磁/同步,永磁/同步,永磁/同步
电动机总功率(kW),55,55,55
电动机总马力(Ps),75,75,75
电动机总扭矩(N·m),135,135,135
前电动机最大功率(kW),55,55,55
前电动机最大扭矩(N·m),135,135,135
驱动电机数,单电机,单电机,单电机
电机布局,前置,前置,前置
电池类型,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池
电池特色技术,刀片电池,刀片电池,刀片电池
电芯品牌,比亚迪,比亚迪,比亚迪
电池组质保,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）
电池容量(kWh),30.08,30.08,38.88
电池能量密度(Wh/kg),,,
电池充电,"快充0.5小时
慢充4.3小时","快充0.5小时
慢充4.3小时","快充0.5小时
慢充5.6小时"
电池充电,●快充接口,●快充接口,●快充接口
最大快充功率(kw),30,30,40
快充接口位置,右侧翼子板,右侧翼子板,右侧翼子板
慢充接口位置,右侧翼子板,右侧翼子板,右侧翼子板
电池温度管理系统,●低温加热,●低温加热,●低温加热
电池温度管理系统,,,●液态冷却
单踏板模式,,,
VTOL移动电站功能,●标配,●标配,●标配
最大对外放电功率(kW),3.3,3.3,3.3
对外放电最低电量允许值(%),15,15,15
