参数名称,轩逸 2024款 经典 1.6L XE CVT舒适版,轩逸 2024款 经典 1.6L XL CVT豪华版,轩逸 2024款 经典 1.6L XV CVT尊享版,轩逸 2023款 超混电驱 全电驱Pro,轩逸 2023款 超混电驱 全电驱大屏版,轩逸 2023款 超混电驱 超智联Plus,轩逸 2023款 超混电驱 超智驾Max,轩逸 2023款 超混电驱 超豪华Ultra,轩逸 2023款 1.6L CVT舒享版,轩逸 2023款 1.6L CVT悦享版,轩逸 2023款 1.6L CVT智驾版
官方指导价,10.86万,11.86万,12.26万,13.89万,14.29万,14.99万,15.59万,17.49万,11.9万,12.99万,13.39万
厂商,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产
级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
能源类型,汽油,汽油,汽油,汽油电驱,汽油电驱,汽油电驱,汽油电驱,汽油电驱,汽油,汽油,汽油
上市时间,2024.01,2024.01,2024.01,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03
发动机,1.6L 122马力 L4,1.6L 122马力 L4,1.6L 122马力 L4,1.2L 72马力 L3,1.2L 72马力 L3,1.2L 72马力 L3,1.2L 72马力 L3,1.2L 72马力 L3,1.6L 135马力 L4,1.6L 135马力 L4,1.6L 135马力 L4
电动机,,,,汽油电驱 136马力,汽油电驱 136马力,汽油电驱 136马力,汽油电驱 136马力,汽油电驱 136马力,,,
最大功率(kW),90(122Ps),90(122Ps),90(122Ps),,,,,,99(135Ps),99(135Ps),99(135Ps)
最大扭矩(N·m),155,155,155,,,,,,159,159,159
变速箱,CVT无级变速,CVT无级变速,CVT无级变速,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,CVT无级变速,CVT无级变速,CVT无级变速
长x宽x高(mm),4631x1760x1503,4631x1760x1503,4631x1760x1503,4652x1815x1447,4652x1815x1447,4652x1815x1445,4652x1815x1445,4652x1815x1445,4652x1815x1450,4652x1815x1450,4652x1815x1450
车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
最高车速(km/h),180,180,180,165,165,165,165,165,186,186,186
官方百公里加速时间(s),,,,,,,,,,,
WLTC综合油耗(L/100km),5.94,5.94,5.94,3.73,3.73,4.18,4.18,4.18,5.94,5.57,5.57
百公里耗电量(kWh/100km),,,,,,,,,,,
等速续航里程(km),,,,,,,,,,,
整车保修期限,3年或10万公里,3年或10万公里,3年或10万公里,5年或15万公里,5年或15万公里,5年或15万公里,5年或15万公里,5年或15万公里,3年或10万公里,3年或10万公里,3年或10万公里
6万公里保养总成本预估,,,,7969.0元,7969.0元,,,7969.0元,,7969.0元,7969.0元
长(mm),4631,4631,4631,4652,4652,4652,4652,4652,4652,4652,4652
宽(mm),1760,1760,1760,1815,1815,1815,1815,1815,1815,1815,1815
高(mm),1503,1503,1503,1447,1447,1445,1445,1445,1450,1450,1450
轴距(mm),2700,2700,2700,2712,2712,2712,2712,2712,2712,2712,2712
前轮距(mm),1540,1540,1540,1587,1587,1571,1571,1571,1588,1588,1588
后轮距(mm),1540,1540,1540,1593,1593,1577,1577,1577,1594,1594,1594
车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车门数(个),4,4,4,4,4,4,4,4,4,4,4
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
座位数(个),5,5,5,5,5,5,5,5,5,5,5
整备质量(kg),1210,1230,1230,1429,1429,1457,1457,1473,1258,1287,1287
